"name","patients_seen_in_four_hours","attendances_at_ane","emergency_admissions_via_type_1_ae","analysisdate"
"City Hospitals Sunderland NHS Foundation Trust",92.4,1415,482,"2011.03.27"
"County Durham And Darlington NHS Foundation Trust",98.2,2450,686,"2011.03.27"
"Gateshead Health NHS Foundation Trust",98.2,1221,298,"2011.03.27"
"North Tees And Hartlepool NHS Foundation Trust",97.9,1929,360,"2011.03.27"
"Northumbria Healthcare NHS Foundation Trust",94.2,2857,947,"2011.03.27"
"South Tees Hospitals NHS Foundation Trust",98.6,2481,538,"2011.03.27"
"South Tyneside NHS Foundation Trust",97.9,1264,311,"2011.03.27"
"The Newcastle Upon Tyne Hospitals NHS Foundation Trust",99.3,2166,487,"2011.03.27"
"Aintree University Hospitals NHS Foundation Trust",100,1628,497,"2011.03.27"
"Alder Hey Children'S NHS Foundation Trust",96.5,1393,354,"2011.03.27"
"Blackpool, Fylde And Wyre Hospitals NHS Foundation Trust",96.4,1914,390,"2011.03.27"
"Central Manchester University Hospitals NHS Foundation Trust",90.9,3580,708,"2011.03.27"
"Countess Of Chester Hospital NHS Foundation Trust",94.8,1284,387,"2011.03.27"
"East Cheshire NHS Trust",98.2,955,271,"2011.03.27"
"East Lancashire Hospitals NHS Trust",97.3,1049,742,"2011.03.27"
"Lancashire Teaching Hospitals NHS Foundation Trust",98.8,2431,435,"2011.03.27"
"Mid Cheshire Hospitals NHS Foundation Trust",97.4,1257,475,"2011.03.27"
"North Cumbria University Hospitals NHS Trust",97,1454,371,"2011.03.27"
"Pennine Acute Hospitals NHS Trust",95.8,6029,1387,"2011.03.27"
"Royal Bolton Hospital NHS Foundation Trust",96,2143,416,"2011.03.27"
"Royal Liverpool And Broadgreen University Hospitals NHS Trust",97.8,1697,543,"2011.03.27"
"Salford Royal NHS Foundation Trust",96.5,1728,538,"2011.03.27"
"Southport And Ormskirk Hospital NHS Trust",97.9,902,236,"2011.03.27"
"St Helens And Knowsley Hospitals NHS Trust",93.9,1876,729,"2011.03.27"
"Stockport NHS Foundation Trust",94.6,1752,422,"2011.03.27"
"Tameside Hospital NHS Foundation Trust",92.7,1528,410,"2011.03.27"
"Trafford Healthcare NHS Trust",95.3,779,140,"2011.03.27"
"University Hospital Of South Manchester NHS Foundation Trust",94.2,1745,581,"2011.03.27"
"University Hospitals Of Morecambe Bay NHS Foundation Trust",96.2,1757,413,"2011.03.27"
"Warrington And Halton Hospitals NHS Foundation Trust",92.2,1626,479,"2011.03.27"
"Wirral University Teaching Hospital NHS Foundation Trust",94.4,1827,511,"2011.03.27"
"Wrightington, Wigan And Leigh NHS Foundation Trust",95.8,1907,494,"2011.03.27"
"Airedale NHS Foundation Trust",98.4,1125,212,"2011.03.27"
"Barnsley Hospital NHS Foundation Trust",97.9,1555,342,"2011.03.27"
"Bradford Teaching Hospitals NHS Foundation Trust",94.5,2653,625,"2011.03.27"
"Calderdale And Huddersfield NHS Foundation Trust",96.7,2869,554,"2011.03.27"
"Doncaster And Bassetlaw Hospitals NHS Foundation Trust",95.4,2812,586,"2011.03.27"
"Harrogate And District NHS Foundation Trust",97.1,851,176,"2011.03.27"
"Hull And East Yorkshire Hospitals NHS Trust",96.4,2426,647,"2011.03.27"
"Leeds Teaching Hospitals NHS Trust",93.8,4040,1454,"2011.03.27"
"Mid Yorkshire Hospitals NHS Trust",95.7,3895,891,"2011.03.27"
"Northern Lincolnshire And Goole Hospitals NHS Foundation Trust",97.9,2235,469,"2011.03.27"
"Scarborough And North East Yorkshire Health Care NHS Trust",96.9,836,215,"2011.03.27"
"Sheffield Children'S NHS Foundation Trust",97.6,1210,130,"2011.03.27"
"Sheffield Teaching Hospitals NHS Foundation Trust",93.8,2141,535,"2011.03.27"
"The Rotherham NHS Foundation Trust",97.7,1531,341,"2011.03.27"
"York Teaching Hospital NHS Foundation Trust",93.2,1483,312,"2011.03.27"
"Chesterfield Royal Hospital NHS Foundation Trust",98.4,1320,358,"2011.03.27"
"Derby Hospitals NHS Foundation Trust",89.7,2355,692,"2011.03.27"
"Kettering General Hospital NHS Foundation Trust",95.3,1312,357,"2011.03.27"
"Northampton General Hospital NHS Trust",98,1389,364,"2011.03.27"
"Nottingham University Hospitals NHS Trust",91.1,3246,769,"2011.03.27"
"Sherwood Forest Hospitals NHS Foundation Trust",96.3,1739,451,"2011.03.27"
"United Lincolnshire Hospitals NHS Trust",96.5,3327,737,"2011.03.27"
"University Hospitals Of Leicester NHS Trust",92.4,3035,917,"2011.03.27"
"Birmingham Children'S Hospital NHS Foundation Trust",98.7,1063,265,"2011.03.27"
"Burton Hospitals NHS Foundation Trust",98.8,1193,343,"2011.03.27"
"George Eliot Hospital NHS Trust",98.8,1308,209,"2011.03.27"
"Heart Of England NHS Foundation Trust",91.5,4652,1371,"2011.03.27"
"Hereford Hospitals NHS Trust",94.8,992,234,"2011.03.27"
"Mid Staffordshire NHS Foundation Trust",82.5,1148,321,"2011.03.27"
"Sandwell And West Birmingham Hospitals NHS Trust",93.7,3676,774,"2011.03.27"
