"","name","attendances_at_ane","patients_waiting_over_4hrs_tobe_admitted","patients_seen_in_four_hours","emergency_admissions","trolley_wait_4_to_12hrs","ambulances_queuing","planned_operations","beds_blocked","beds_closed_dueto_norovirus"
"R1F","Isle Of Wight NHS Trust",832,137,83.5,186,0,29,1,182,0
"R1H","Barts Health NHS Trust",5951,857,85.6,1590,0,24,0,241,343
"R1K","London North West Healthcare NHS Trust",2448,567,76.8,996,0,100,13,93,8
"RA2","Royal Surrey County Hospital NHS Foundation Trust",1341,103,92.3,420,0,52,2,60,0
"RA3","Weston Area Health NHS Trust",1002,65,93.5,233,0,0,0,94,334
"RA4","Yeovil District Hospital NHS Foundation Trust",821,36,95.6,286,0,0,10,123,54
"RA7","University Hospitals Bristol NHS Foundation Trust",1956,137,93,605,0,12,11,244,0
"RA9","South Devon Healthcare NHS Foundation Trust",1373,240,82.5,519,0,26,15,41,10
"RAE","Bradford Teaching Hospitals NHS Foundation Trust",2562,87,96.6,608,0,6,12,0,3
"RAJ","Southend University Hospital NHS Foundation Trust",1853,95,94.9,533,0,31,4,62,0
"RAL","Royal Free London NHS Foundation Trust",4296,280,93.5,686,0,74,12,134,20
"RAP","North Middlesex University Hospital NHS Trust",3704,407,89,455,0,34,1,77,66
"RAS","The Hillingdon Hospitals NHS Foundation Trust",1027,156,84.8,426,0,34,1,10,107
"RAX","Kingston Hospital NHS Foundation Trust",1915,154,92,300,0,0,1,93,0
"RBA","Taunton And Somerset NHS Foundation Trust",1148,31,97.3,323,0,17,0,146,60
"RBD","Dorset County Hospital NHS Foundation Trust",820,121,85.2,284,0,30,0,138,0
"RBK","Walsall Healthcare NHS Trust",1437,304,78.8,426,0,43,0,121,12
"RBL","Wirral University Teaching Hospital NHS Foundation Trust",1548,340,78,515,0,59,46,21,0
"RBN","St Helens And Knowsley Hospitals NHS Trust",2045,240,88.3,722,0,59,6,30,0
"RBS","Alder Hey Children's NHS Foundation Trust",1153,50,95.7,165,0,0,0,0,0
"RBT","Mid Cheshire Hospitals NHS Foundation Trust",1148,188,83.6,399,0,0,6,68,66
"RBZ","Northern Devon Healthcare NHS Trust",759,80,89.5,235,0,14,4,71,281
"RC1","Bedford Hospital NHS Trust",1276,32,97.5,337,0,17,10,34,280
"RC9","Luton And Dunstable University Hospital NHS Foundation Trust",1850,27,98.5,561,0,57,7,49,0
"RCB","York Teaching Hospital NHS Foundation Trust",2526,532,78.9,748,0,189,27,106,140
"RCD","Harrogate And District NHS Foundation Trust",859,25,97.1,228,0,1,1,33,1
"RCF","Airedale NHS Foundation Trust",1039,39,96.2,185,0,3,8,56,0
"RCU","Sheffield Children's NHS Foundation Trust",1170,21,98.2,232,0,0,3,0,0
"RCX","The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust",1115,109,90.2,385,0,86,1,62,248
"RD1","Royal United Hospitals Bath NHS Foundation Trust",1275,195,84.7,459,0,0,9,105,34
"RD3","Poole Hospital NHS Foundation Trust",1249,128,89.8,400,0,59,7,180,0
